Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11734,50.40000153,2.798799992,0.0735,0,30.05960083,-999.25,-999.25,-999.25,1
42/13a-A5Z,11734.5,49.59999847,2.759799957,0.060800001,0,27.92429924,-999.25,-999.25,-999.25,1
42/13a-A5Z,11735,49.59999847,2.727499962,0.0528,0,28.30719948,-999.25,-999.25,-999.25,1
42/13a-A5Z,11735.5,48,2.698699951,0.102200002,0,31.63769913,-999.25,-999.25,-999.25,1
42/13a-A5Z,11736,50.40000153,2.690900087,0.076399997,0,36.06079865,-999.25,-999.25,-999.25,1
42/13a-A5Z,11736.5,49.59999847,2.69810009,0.0616,0,36.16469955,-999.25,-999.25,-999.25,1
42/13a-A5Z,11737,51.20000076,2.72480011,0.052900001,0,34.7098999,-999.25,-999.25,-999.25,1
42/13a-A5Z,11737.5,46.40000153,2.741699934,0.0502,0,36.04869843,-999.25,-999.25,-999.25,1
42/13a-A5Z,11738,49.59999847,2.732399941,0.049699999,0,36.87200165,-999.25,-999.25,-999.25,1
42/13a-A5Z,11738.5,50.40000153,2.728199959,0.046,0,35.19350052,-999.25,-999.25,-999.25,1
42/13a-A5Z,11739,49.59999847,2.6868999,0.043299999,0,34.81510162,-999.25,-999.25,-999.25,1
42/13a-A5Z,11739.5,50.40000153,2.690000057,0.042300001,0,33.15990067,-999.25,-999.25,-999.25,1
42/13a-A5Z,11740,49.59999847,2.707099915,0.041700002,0,36.39189911,-999.25,-999.25,-999.25,1
42/13a-A5Z,11740.5,49.59999847,2.681600094,0.038899999,0,34.90909958,-999.25,-999.25,-999.25,1
42/13a-A5Z,11741,49.59999847,2.693900108,0.035500001,0,34.62210083,-999.25,-999.25,-999.25,1
42/13a-A5Z,11741.5,51.20000076,2.72420001,0.034899999,0,35.25469971,-999.25,-999.25,-999.25,1
42/13a-A5Z,11742,51.20000076,2.735899925,0.035,0,34.51269913,-999.25,-999.25,-999.25,1
42/13a-A5Z,11742.5,52,2.738399983,0.035300002,0,30.89259911,-999.25,-999.25,-999.25,1
42/13a-A5Z,11743,51.20000076,2.721999884,0.034200002,0,29.93519974,-999.25,-999.25,-999.25,1
42/13a-A5Z,11743.5,52,2.717900038,0.034800001,0,31.6602993,-999.25,-999.25,-999.25,1
42/13a-A5Z,11744,52,2.6947999,0.034600001,0,31.84600067,-999.25,-999.25,-999.25,1
42/13a-A5Z,11744.5,52,2.638499975,0.037900001,0,32.44829941,-999.25,-999.25,-999.25,1
42/13a-A5Z,11745,54.40000153,2.59980011,0.038899999,0,34.48849869,-999.25,-999.25,-999.25,1
42/13a-A5Z,11745.5,54.40000153,2.58039999,0.0427,0,32.97470093,-999.25,-999.25,-999.25,1
42/13a-A5Z,11746,60,2.611500025,0.051800001,0,31.16449928,-999.25,-999.25,-999.25,1
42/13a-A5Z,11746.5,60.79999924,2.614200115,0.064000003,0,27.69470024,-999.25,-999.25,-999.25,1
42/13a-A5Z,11747,60.79999924,2.569900036,0.077299997,0,25.18440056,-999.25,-999.25,-999.25,1
42/13a-A5Z,11747.5,59.20000076,2.527199984,0.0854,0,25.83539963,-999.25,-999.25,-999.25,1
42/13a-A5Z,11748,52,2.57069993,0.0933,0,23.30270004,-999.25,-999.25,-999.25,1
42/13a-A5Z,11748.5,48.79999924,2.723500013,0.102600001,0,19.48480034,-999.25,-999.25,-999.25,1
42/13a-A5Z,11749,45.59999847,2.843400002,0.106399998,0,19.1996994,-999.25,-999.25,-999.25,1
42/13a-A5Z,11749.5,48.79999924,2.906599999,0.102300003,0,21.27389908,-999.25,-999.25,-999.25,1
42/13a-A5Z,11750,46.40000153,2.877300024,0.089599997,0,24.72220039,-999.25,-999.25,-999.25,1
42/13a-A5Z,11750.5,44,2.874700069,0.079599999,0,25.71590042,-999.25,-999.25,-999.25,1
42/13a-A5Z,11751,46.40000153,2.893599987,0.076099999,0,22.81240082,-999.25,-999.25,-999.25,1
42/13a-A5Z,11751.5,46.40000153,2.924400091,0.0735,0,21.77619934,-999.25,-999.25,-999.25,1
42/13a-A5Z,11752,44,2.923700094,0.071699999,0,23.35379982,-999.25,-999.25,-999.25,1
42/13a-A5Z,11752.5,44,2.904299974,0.070600003,0,22.63559914,-999.25,-999.25,-999.25,1
42/13a-A5Z,11753,44.79999924,2.913899899,0.0713,0,25.84740067,-999.25,-999.25,-999.25,1
42/13a-A5Z,11753.5,43.73329926,2.928100109,0.072099999,0,28.57279968,-999.25,-999.25,-999.25,1
42/13a-A5Z,11754,42.66669846,2.924099922,0.070699997,0,28.37859917,-999.25,-999.25,-999.25,1
42/13a-A5Z,11754.5,41.59999847,2.853600025,0.0704,0,27.3010006,-999.25,-999.25,-999.25,1
42/13a-A5Z,11755,44.33333206,2.819000006,0.068899997,0,30.80170059,-999.25,-999.25,-999.25,1
42/13a-A5Z,11755.5,47.06666565,2.803100109,0.0691,0,35.28179932,-999.25,-999.25,-999.25,1
42/13a-A5Z,11756,49.79999924,2.842900038,0.070200004,0,41.20249939,-999.25,-999.25,-999.25,1
42/13a-A5Z,11756.5,52.53333283,2.890000105,0.071500003,0,51.50400162,-999.25,-999.25,-999.25,1
42/13a-A5Z,11757,55.26666641,2.927099943,0.074100003,0,100.3348007,-999.25,-999.25,-999.25,1
42/13a-A5Z,11757.5,58,2.920000076,0.0792,0,138.9048004,-999.25,-999.25,-999.25,2
42/13a-A5Z,11758,60.73333359,2.850699902,0.088200003,0,157.5285034,-999.25,-999.25,-999.25,2
42/13a-A5Z,11758.5,63.46666718,2.808199883,0.104800001,0,166.0944061,-999.25,-999.25,-999.25,2
